experiment,treatment,time,rep,response
A,No,D0,1,2.545739958
A,No,D0,2,2.439853535
A,No,D0,3,2.616244389
A,No,D4,1,2.548671894
A,No,D4,2,2.214313897
A,No,D4,3,2.326929537
A,No,D7,1,2.330271691
A,No,D7,2,2.297716751
A,No,D7,3,2.370716589
A,Yes,D0,1,2.625209525
A,Yes,D0,2,2.65270071
A,Yes,D0,3,2.445355074
A,Yes,D4,1,2.27980378
A,Yes,D4,2,2.539477573
A,Yes,D4,3,2.458123945
A,Yes,D7,1,2.131297797
A,Yes,D7,2,2.475874489
A,Yes,D7,3,2.453150095
B,No,D0,1,2.262972879
B,No,D0,2,2.215505378
B,No,D0,3,2.260548373
B,No,D4,1,2.197638876
B,No,D4,2,2.078819183
B,No,D4,3,2.181643538
B,No,D7,1,2.231087121
B,No,D7,2,2.261239071
B,No,D7,3,2.375791598
B,Yes,D0,1,2.080951004
B,Yes,D0,2,2.31344537
B,Yes,D0,3,2.481929682
B,Yes,D4,1,2.223002439
B,Yes,D4,2,2.28474647
B,Yes,D4,3,2.196866747
B,Yes,D7,1,2.288763276
B,Yes,D7,2,2.550130473
B,Yes,D7,3,2.359266165
