experiment,treatment,time,rep,response
D,No,D0,1,2.643699365
D,No,D0,2,2.526558954
D,No,D0,3,2.653193211
D,No,D4,1,2.515118468
D,No,D4,2,2.540003945
D,No,D4,3,2.547491645
D,No,D7,1,2.561017857
D,No,D7,2,2.520588327
D,No,D7,3,2.526959255
D,Yes,D0,1,2.640620548
D,Yes,D0,2,2.473764246
D,Yes,D0,3,2.629215856
D,Yes,D4,1,1.589949601
D,Yes,D4,2,1.599992178
D,Yes,D4,3,2.075473965
D,Yes,D7,1,1.924641047
D,Yes,D7,2,2.059979717
D,Yes,D7,3,1.915663604
E,No,D0,1,2.539226695
E,No,D0,2,2.588540606
E,No,D0,3,2.605024766
E,No,D4,1,2.515211304
E,No,D4,2,2.573475015
E,No,D4,3,2.540592225
E,No,D7,1,2.53834748
E,No,D7,2,2.527964836
E,No,D7,3,2.5053942
E,Yes,D0,1,2.619416843
E,Yes,D0,2,2.654215059
E,Yes,D0,3,2.599271574
E,Yes,D4,1,1.635081436
E,Yes,D4,2,1.636989102
E,Yes,D4,3,1.524266269
E,Yes,D7,1,1.948021533
E,Yes,D7,2,2.066400476
E,Yes,D7,3,2.215029178
